dep,catr,homme,part_indemne,part_tue,part_blesse_hospi,part_blesse_leger
84,2,1,0,0.08695652173913043,0.17391304347826086,0.7391304347826086
94,2,0,0,0.02857142857142857,0.2571428571428571,0.7142857142857143
62,6,0,0,0,1,0
41,4,0,0,0.05714285714285714,0.42857142857142855,0.5142857142857142
37,9,1,0.058823529411764705,0,0.5294117647058824,0.4117647058823529
61,4,0,0,0.125,0.75,0.125
56,9,0,0.021052631578947368,0,0.05263157894736842,0.9263157894736842
71,4,0,0.03571428571428571,0.10714285714285714,0.5357142857142857,0.32142857142857145
33,2,0,0,0,0,1
45,4,0,0.01652892561983471,0.01652892561983471,0.24793388429752067,0.71900826446281
54,4,1,0.06570841889117043,0.01026694045174538,0.15605749486652978,0.7679671457905544
08,3,1,0.01639344262295082,0.04918032786885246,0.7377049180327869,0.19672131147540983
58,4,0,0.027777777777777776,0,0.2222222222222222,0.75
92,4,1,0.11464088397790055,0.006906077348066298,0.10220994475138122,0.7762430939226519
50,4,1,0.08379888268156424,0,0.31843575418994413,0.5977653631284916
03,9,1,0,0,1,0
06,3,0,0.0392156862745098,0.0784313725490196,0.3333333333333333,0.5490196078431373
65,3,0,0,0.11627906976744186,0.4418604651162791,0.4418604651162791
36,4,0,0.022727272727272728,0,0.22727272727272727,0.75
5,3,0,0.5,0,0,0.5
6,3,1,0.1,0,0.6,0.3
17,4,0,0.026881720430107527,0.002688172043010753,0.21774193548387097,0.7526881720430108
34,9,1,0.1388888888888889,0.027777777777777776,0.4444444444444444,0.3888888888888889
39,3,1,0.013888888888888888,0.09722222222222222,0.7777777777777778,0.1111111111111111
06,5,0,0,0,1,0
29,3,1,0.021645021645021644,0.0735930735930736,0.5887445887445888,0.31601731601731603
31,3,1,0.032679738562091505,0.0784313725490196,0.5915032679738562,0.2973856209150327
67,6,0,0,0,0.5714285714285714,0.42857142857142855
83,1,1,0,0,0,1
17,4,1,0.06514657980456026,0.016286644951140065,0.2247557003257329,0.6938110749185668
35,2,1,0,0.05263157894736842,0.631578947368421,0.3157894736842105
60,3,1,0.010362694300518135,0.11917098445595854,0.533678756476684,0.33678756476683935
23,3,1,0,0.13043478260869565,0.6521739130434783,0.21739130434782608
10,4,1,0.0673076923076923,0.038461538461538464,0.40384615384615385,0.49038461538461536
06,4,1,0.11031518624641834,0.01862464183381089,0.2349570200573066,0.6361031518624641
24,9,1,0,0,1,0
80,4,0,0.03773584905660377,0,0.11320754716981132,0.8490566037735849
81,2,1,0,0.4166666666666667,0.4166666666666667,0.16666666666666666
42,4,0,0.039473684210526314,0.02631578947368421,0.34210526315789475,0.5921052631578947
81,3,1,0.02531645569620253,0.0759493670886076,0.6582278481012658,0.24050632911392406
42,2,1,0,0,0.7777777777777778,0.2222222222222222
94,2,1,0.05303030303030303,0,0.12878787878787878,0.8181818181818182
79,3,1,0.043478260869565216,0.15217391304347827,0.5652173913043478,0.2391304347826087
05,2,1,0.03125,0.03125,0.5,0.4375
06,9,0,0.25,0,0,0.75
5,3,1,0,0.08333333333333333,0.4166666666666667,0.5
06,7,1,0,0.09523809523809523,0.6190476190476191,0.2857142857142857
44,3,1,0.045454545454545456,0.13636363636363635,0.5863636363636363,0.2318181818181818
19,2,1,0,0,0.6666666666666666,0.3333333333333333
61,3,0,0,0.125,0.625,0.25
26,4,0,0.046153846153846156,0.03076923076923077,0.3230769230769231,0.6
91,7,1,0,0,0,1
25,4,1,0.056768558951965066,0.013100436681222707,0.37117903930131,0.5589519650655022
41,3,1,0.03333333333333333,0.1,0.5666666666666667,0.3
69,7,1,0,0,0.21428571428571427,0.7857142857142857
49,3,1,0.02717391304347826,0.10869565217391304,0.5869565217391305,0.27717391304347827
83,3,1,0.04619565217391304,0.09239130434782608,0.6222826086956522,0.2391304347826087
38,9,1,0.10526315789473684,0.15789473684210525,0.3157894736842105,0.42105263157894735
90,4,1,0.11403508771929824,0.017543859649122806,0.13157894736842105,0.7368421052631579
57,4,1,0.04419889502762431,0.011049723756906077,0.3370165745856354,0.6077348066298343
63,3,0,0,0.16666666666666666,0.3333333333333333,0.5
93,1,1,0.5,0,0.25,0.25
67,4,0,0.03556187766714083,0.011379800853485065,0.14082503556187767,0.8122332859174964
78,4,0,0.016260162601626018,0.008130081300813009,0.2926829268292683,0.6829268292682927
22,4,0,0.03076923076923077,0.03076923076923077,0.3076923076923077,0.6307692307692307
69,2,1,0,0,0.3,0.7
54,2,1,0,0.2,0.7,0.1
43,4,1,0.06451612903225806,0,0.7096774193548387,0.22580645161290322
06,3,1,0.029850746268656716,0.050746268656716415,0.5462686567164179,0.373134328358209
64,3,0,0,0.07547169811320754,0.4339622641509434,0.49056603773584906
37,4,1,0.0962962962962963,0.012962962962962963,0.3537037037037037,0.5370370370370371
76,3,1,0.038910505836575876,0.10505836575875487,0.5252918287937743,0.33073929961089493
68,9,1,0.25,0,0.5,0.25
92,9,1,0.23404255319148937,0,0.0851063829787234,0.6808510638297872
25,3,0,0.03571428571428571,0.07142857142857142,0.6428571428571429,0.25
