com,Part_grave,age_moyen,Part_homme,mod_mois,mod_jour,Part_surf_degradee,Part_lum_degradee,Part_atm_degradee,Part_agglo,Part_secu,mod_int,mod_int,mod_col,mod_catr,circ,mod_plan,mod_situ,mod_trajet,mod_choc
12215,100.0,19.0,100.0,avril,samedi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Trois véhicules et plus - en chaîne,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté gauche
12285,100.0,14.0,100.0,juin,jeudi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté droit
12297,100.0,56.0,100.0,juin,jeudi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière
12300,55.55555555555556,45.888888888888886,100.0,octobre,vendredi,0.0,11.11111111111111,11.11111111111111,66.66666666666666,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
1235,100.0,17.0,100.0,decembre,dimanche,0.0,0.0,0.0,100.0,100.0,Intersection en T,Intersection en T,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière gauche
1236,100.0,51.0,100.0,juin,samedi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Côté droit
1241,100.0,74.0,100.0,novembre,samedi,0.0,0.0,0.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Route départementale,Bidirectionnelle,En courbe à droite,Sur chaussée,Promenade - loisirs,Aucun
1252,100.0,11.0,100.0,mai,mercredi,0.0,0.0,0.0,0.0,0.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Route départementale,Bidirectionnelle,En courbe à droite,Sur chaussée,Promenade - loisirs,Avant
1265,100.0,64.25,75.0,octobre,mercredi,0.0,50.0,0.0,100.0,75.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Domicile - travail,Avant
1283,54.54545454545454,19.818181818181817,90.9090909090909,juin,lundi,0.0,9.090909090909092,9.090909090909092,100.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
1290,50.0,37.5,100.0,juin,lundi,0.0,25.0,0.0,25.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
13007,100.0,58.333333333333336,66.66666666666666,aout,lundi,0.0,0.0,33.33333333333333,33.33333333333333,100.0,Hors intersection,Hors intersection,Deux véhicules - frontale,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Avant
13018,100.0,16.0,100.0,mai,mercredi,0.0,0.0,0.0,100.0,0.0,Intersection en Y,Intersection en Y,Deux véhicules - par le côté,Voie communale,Bidirectionnelle,En courbe à gauche,Sur chaussée,Non renseigné,Chocs multiples (tonneaux)
13025,100.0,62.0,100.0,avril,vendredi,0.0,0.0,100.0,0.0,100.0,Hors intersection,Hors intersection,Deux véhicules - par l'arrière,Route départementale,Bidirectionnelle,Partie rectiligne,Sur chaussée,Promenade - loisirs,Arrière
